Run ID,1614698095
Run Date/Time,2021-03-02 15:10:46
Application Name,Labcyte Echo Plate Reformat
Application Version,1.6.4
Protocol Name,Protocol 2.epr
User Name,Lab

[DETAILS]
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Survey Fluid Height,Survey Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Survey Status
Source[1],UnknownBarCode,384LDV_DMSO,D1,0.71,3.735,97.192,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,D2,0.723,3.731,95.356,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,D3,0.686,3.637,97.621,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,D4,0.686,3.673,98.596,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,D5,0.683,3.695,99.516,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,D6,0.735,3.949,99.701,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,D7,0.798,4.207,98.591,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,D8,0.717,3.861,99.591,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,D9,0.439,2.519,99.155,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,D10,0.443,2.554,99.674,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,D11,0.426,2.445,98.761,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,D12,0.434,2.457,98.094,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,D13,0.46,2.593,98.424,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,D14,0.481,2.671,97.828,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,D15,0.519,2.821,96.874,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,D16,0.585,3.178,98.148,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,D17,0.557,3.087,99.41,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,D18,0.53,2.913,98.098,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,D19,0.556,3.047,98.332,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,D20,0.605,3.312,99.279,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,D21,0.591,3.209,98.238,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,D22,0.721,3.833,98.406,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,D23,0.677,3.572,96.89,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,D24,0.707,3.7,96.486,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,E1,0.735,3.88,97.936,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,E2,0.743,3.892,97.161,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,E3,0.756,4.046,99.626,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,E4,0.798,4.209,98.654,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,E5,0.749,3.987,98.937,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,E6,0.431,2.464,98.664,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,E7,0.435,2.518,99.659,Percent,DMSO,
