Run ID,1614695037
Run Date/Time,2021-03-02 14:19:48
Application Name,Labcyte Echo Plate Reformat
Application Version,1.6.4
Protocol Name,Protocol 0.epr
User Name,Lab

[DETAILS]
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Survey Fluid Height,Survey Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Survey Status
Source[1],UnknownBarCode,384LDV_DMSO,A1,0.392,2.226,97.054,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A2,0.427,2.466,99.305,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A3,0.457,2.626,99.701,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A4,0.422,2.456,99.701,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A5,0.373,2.178,98.298,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A6,0.471,2.663,98.968,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A7,0.343,2.043,98.681,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A8,0.49,2.759,99.088,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A9,0.471,2.689,99.701,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A10,0.38,2.252,99.505,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A11,0.418,2.427,99.404,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A12,0.39,2.248,97.964,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A13,0.445,2.569,99.701,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A14,0.42,2.449,99.701,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A15,0.445,2.569,99.701,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A16,0.454,2.565,98.446,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A17,0.474,2.673,98.789,Percent,DMSO,
