Run ID,1614695037
Run Date/Time,2021-03-02 14:19:48
Application Name,Labcyte Echo Plate Reformat
Application Version,1.6.4
Protocol Name,Protocol 0.epr
User Name,Lab

[DETAILS]
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Destination Plate Name,Destination Plate Barcode,Destination Plate Type,Destination Well,Destination Well X Offset,Destination Well Y Offset,Sample ID,Sample Name,Transfer Volume,Actual Volume,Current Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Transfer Status
Source[1],,384LDV_DMSO,A1,Destination[1],,384PP_Dest,A1,0,0,,,1500,1500,9.898,95.721,Percent,DMSO,
Source[1],,384LDV_DMSO,A1,Destination[1],,384PP_Dest,A2,0,0,,,1495,1495,8.403,95.721,Percent,DMSO,
Source[1],,384LDV_DMSO,A1,Destination[1],,384PP_Dest,A3,0,0,,,1465,1465,6.938,95.721,Percent,DMSO,
Source[1],,384LDV_DMSO,G1,Destination[1],,384PP_Dest,A3,0,0,,,35,35,11.43,98.232,Percent,DMSO,
Source[1],,384LDV_DMSO,G1,Destination[1],,384PP_Dest,A2,0,0,,,5,5,11.425,98.232,Percent,DMSO,
Source[1],,384LDV_DMSO,G1,Destination[1],,384PP_Dest,A4,0,0,,,117.5,117.5,11.308,98.232,Percent,DMSO,
Source[1],,384LDV_DMSO,A1,Destination[1],,384PP_Dest,A4,0,0,,,1382.5,1382.5,5.428,98.886,Percent,DMSO,
Source[1],,384LDV_DMSO,A1,Destination[1],,384PP_Dest,A5,0,0,,,1220,1220,4.208,98.886,Percent,DMSO,
Source[1],,384LDV_DMSO,A1,Destination[1],,384PP_Dest,A6,0,0,,,952.5,952.5,3.255,98.886,Percent,DMSO,
Source[1],,384LDV_DMSO,A1,Destination[1],,384PP_Dest,A7,0,0,,,485,485,2.77,98.886,Percent,DMSO,
Source[1],,384LDV_DMSO,G1,Destination[1],,384PP_Dest,A7,0,0,,,945,945,10.331,97.711,Percent,DMSO,
Source[1],,384LDV_DMSO,G1,Destination[1],,384PP_Dest,A6,0,0,,,547.5,547.5,9.784,97.711,Percent,DMSO,
Source[1],,384LDV_DMSO,G1,Destination[1],,384PP_Dest,A5,0,0,,,280,280,9.504,97.711,Percent,DMSO,
Source[1],,384LDV_DMSO,G1,Destination[1],,384PP_Dest,A8,0,0,,,1500,1500,8.004,97.711,Percent,DMSO,
Source[1],,384LDV_DMSO,A2,Destination[1],,384PP_Dest,A9,0,0,,,1500,1500,10.113,99.701,Percent,DMSO,
Source[1],,384LDV_DMSO,A2,Destination[1],,384PP_Dest,A10,0,0,,,1495,1495,8.618,99.701,Percent,DMSO,
Source[1],,384LDV_DMSO,A2,Destination[1],,384PP_Dest,A11,0,0,,,1465,1465,7.153,99.701,Percent,DMSO,
Source[1],,384LDV_DMSO,G3,Destination[1],,384PP_Dest,A11,0,0,,,35,35,11.173,93.552,Percent,DMSO,
Source[1],,384LDV_DMSO,G3,Destination[1],,384PP_Dest,A10,0,0,,,5,5,11.168,93.552,Percent,DMSO,
Source[1],,384LDV_DMSO,G3,Destination[1],,384PP_Dest,A12,0,0,,,117.5,117.5,11.05,93.552,Percent,DMSO,
Source[1],,384LDV_DMSO,A2,Destination[1],,384PP_Dest,A12,0,0,,,1382.5,1382.5,5.429,99.701,Percent,DMSO,
Source[1],,384LDV_DMSO,A2,Destination[1],,384PP_Dest,A13,0,0,,,1220,1220,4.209,99.701,Percent,DMSO,
Source[1],,384LDV_DMSO,A2,Destination[1],,384PP_Dest,A14,0,0,,,952.5,952.5,3.256,99.701,Percent,DMSO,
Source[1],,384LDV_DMSO,A2,Destination[1],,384PP_Dest,A15,0,0,,,415,415,2.841,99.701,Percent,DMSO,
Source[1],,384LDV_DMSO,A3,Destination[1],,384PP_Dest,A17,0,0,,,1500,1500,10.269,99.701,Percent,DMSO,
Source[1],,384LDV_DMSO,A3,Destination[1],,384PP_Dest,A18,0,0,,,1495,1495,8.774,99.701,Percent,DMSO,
Source[1],,384LDV_DMSO,A3,Destination[1],,384PP_Dest,A19,0,0,,,1465,1465,7.309,99.701,Percent,DMSO,
Source[1],,384LDV_DMSO,G3,Destination[1],,384PP_Dest,A16,0,0,,,1500,1500,9.485,94.512,Percent,DMSO,
Source[1],,384LDV_DMSO,G3,Destination[1],,384PP_Dest,A15,0,0,,,945,945,8.54,94.512,Percent,DMSO,
Source[1],,384LDV_DMSO,G3,Destination[1],,384PP_Dest,A14,0,0,,,547.5,547.5,7.993,94.512,Percent,DMSO,
Source[1],,384LDV_DMSO,G3,Destination[1],,384PP_Dest,A13,0,0,,,280,280,7.713,94.512,Percent,DMSO,
Source[1],,384LDV_DMSO,G5,Destination[1],,384PP_Dest,A18,0,0,,,5,5,11.368,98.26,Percent,DMSO,
Source[1],,384LDV_DMSO,G5,Destination[1],,384PP_Dest,A19,0,0,,,35,35,11.333,98.26,Percent,DMSO,
Source[1],,384LDV_DMSO,G5,Destination[1],,384PP_Dest,A20,0,0,,,117.5,117.5,11.215,98.26,Percent,DMSO,
Source[1],,384LDV_DMSO,A3,Destination[1],,384PP_Dest,A20,0,0,,,1382.5,1382.5,5.67,99.701,Percent,DMSO,
Source[1],,384LDV_DMSO,A3,Destination[1],,384PP_Dest,A21,0,0,,,1220,1220,4.45,99.701,Percent,DMSO,
Source[1],,384LDV_DMSO,A3,Destination[1],,384PP_Dest,A22,0,0,,,952.5,952.5,3.498,99.701,Percent,DMSO,
Source[1],,384LDV_DMSO,A3,Destination[1],,384PP_Dest,A23,0,0,,,345,345,3.153,99.701,Percent,DMSO,
Source[1],,384LDV_DMSO,A4,Destination[1],,384PP_Dest,B3,0,0,,,1465,1465,10.432,99.701,Percent,DMSO,
Source[1],,384LDV_DMSO,A4,Destination[1],,384PP_Dest,B2,0,0,,,1495,1495,8.937,99.701,Percent,DMSO,
Source[1],,384LDV_DMSO,A4,Destination[1],,384PP_Dest,B1,0,0,,,1500,1500,7.437,99.701,Percent,DMSO,
Source[1],,384LDV_DMSO,G5,Destination[1],,384PP_Dest,A21,0,0,,,280,280,10.896,97.663,Percent,DMSO,
Source[1],,384LDV_DMSO,G5,Destination[1],,384PP_Dest,A22,0,0,,,547.5,547.5,10.349,97.663,Percent,DMSO,
Source[1],,384LDV_DMSO,G5,Destination[1],,384PP_Dest,A23,0,0,,,945,945,9.404,97.663,Percent,DMSO,
Source[1],,384LDV_DMSO,G5,Destination[1],,384PP_Dest,A24,0,0,,,1500,1500,7.904,97.663,Percent,DMSO,
Source[1],,384LDV_DMSO,G7,Destination[1],,384PP_Dest,B4,0,0,,,117.5,117.5,11.083,99.701,Percent,DMSO,
Source[1],,384LDV_DMSO,G7,Destination[1],,384PP_Dest,B3,0,0,,,35,35,11.048,99.701,Percent,DMSO,
Source[1],,384LDV_DMSO,G7,Destination[1],,384PP_Dest,B2,0,0,,,5,5,11.043,99.701,Percent,DMSO,
Source[1],,384LDV_DMSO,A4,Destination[1],,384PP_Dest,B4,0,0,,,1382.5,1382.5,5.5,99.701,Percent,DMSO,
Source[1],,384LDV_DMSO,A4,Destination[1],,384PP_Dest,B5,0,0,,,1220,1220,4.28,99.701,Percent,DMSO,
Source[1],,384LDV_DMSO,A4,Destination[1],,384PP_Dest,B6,0,0,,,952.5,952.5,3.327,99.701,Percent,DMSO,
Source[1],,384LDV_DMSO,A4,Destination[1],,384PP_Dest,B7,0,0,,,275,275,3.052,99.701,Percent,DMSO,
Source[1],,384LDV_DMSO,A5,Destination[1],,384PP_Dest,B9,0,0,,,1500,1500,10.136,99.205,Percent,DMSO,
Source[1],,384LDV_DMSO,A5,Destination[1],,384PP_Dest,B10,0,0,,,1495,1495,8.641,99.205,Percent,DMSO,
Source[1],,384LDV_DMSO,A5,Destination[1],,384PP_Dest,B11,0,0,,,1465,1465,7.176,99.205,Percent,DMSO,
Source[1],,384LDV_DMSO,G7,Destination[1],,384PP_Dest,B8,0,0,,,1500,1500,9.495,99.701,Percent,DMSO,
Source[1],,384LDV_DMSO,G7,Destination[1],,384PP_Dest,B7,0,0,,,945,945,8.55,99.701,Percent,DMSO,
Source[1],,384LDV_DMSO,G7,Destination[1],,384PP_Dest,B6,0,0,,,547.5,547.5,8.002,99.701,Percent,DMSO,
Source[1],,384LDV_DMSO,G7,Destination[1],,384PP_Dest,B5,0,0,,,280,280,7.722,99.701,Percent,DMSO,
Source[1],,384LDV_DMSO,G9,Destination[1],,384PP_Dest,B10,0,0,,,5,5,11.366,99.701,Percent,DMSO,
