"
Inhibitors, Agonists, Screening Libraries
www.MedChemExpress.com",,,,,,,,,,,,
FDA-Approved Drug Library (96-well), , , , , , , , , , , , 
Product Details:,,,,,,,,,,,,
Catalog Number:,,HY-L022,,,,,,,,,,
Formulation:,,A collection of 1510 marketed drugs supplied as pre-dissolved DMSO solutions or Solid,,,,,,,,,,
Container:,,96 Well Format Sample Storage Tube With Screw Cap and Optional 2D Barcode,,,,,,,,,,
Storage:,,-80°C,,,,,,,,,,
Shipping:,,Blue ice,,,,,,,,,,
Packaging:,,Inert gas,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Plate layout: HY-L022-1,,,,,,,,,,,,
,,,,,,,,,,,,
 ,1,2,3,4,5,6,7,8,9,10,11,12
a,Empty,Pimavanserin tartrate,D-Cycloserine,Ledipasvir (D-tartrate),Felypressin,Ornipressin,Fidaxomicin,Oxytocin (acetate),Vinorelbine (ditartrate),Octreotide (acetate),Benzyl alcohol,Empty
b,Empty,Amifampridine,Desmopressin (Acetate),Cysteamine (Hydrochloride),Methimazole,Anidulafungin,Fertirelin,Heparin (sodium salt),Cyclosporin A,Caspofungin (Acetate),Aliskiren (hemifumarate),Empty
c,Empty,Nicotinamide,Terlipressin,Pyrazinamide,Niacin,Atracurium (besylate),Cisatracurium (besylate),Colistin (sulfate),Leuprolide Acetate,Flucytosine,Vigabatrin,Empty
d,Empty,Micafungin (sodium),5-Fluorouracil,6-Aminocaproic acid,L-Ornithine,Goserelin (acetate),Vitamin B12,Allopurinol,Isoniazid,Salicylic acid,Deferiprone,Empty
e,Empty,Choline (chloride),Dimetridazole,Ethosuximide,Piracetam,Methylthiouracil,Trimethadione,Valpromide,Dimethyl fumarate,Valproic acid,Gimeracil,Empty
f,Empty,Isosorbide,Vancomycin (hydrochloride),Penicillamine,4-(Aminomethyl)benzoic acid,AN-2690,Bleomycin (sulfate),5-Aminosalicylic Acid,Betaine (hydrochloride),Acipimox,Bemegride,Empty
g,Empty,Orotic acid,Tranexamic acid,Allantoin,Oxiracetam,Sodium Salicylate,Daptomycin,Acetylcysteine,Tiopronin,Mesna,2-Ethoxybenzamide,Empty
h,Empty,Metformin (hydrochloride),Vigabatrin (Hydrochloride),Valproic acid (sodium salt),Idramantone,Ethionamide,6-Thioguanine,L-Glutamic acid monosodium salt ,Chlorzoxazone,Gallic acid,6-Mercaptopurine hydrate,Empty
,,,,,,,,,,,,
Plate layout: HY-L022-2,,,,,,,,,,,,
,,,,,,,,,,,,
 ,1,2,3,4,5,6,7,8,9,10,11,12
a,Empty,Levetiracetam,Propylthiouracil,Metronidazole,Gabapentin,Menadione,Sulfanilamide,Pralidoxime (chloride),Oxaceprol,Acetylleucine,6-Acetamidohexanoic acid,Empty
b,Empty,Fondaparinux (sodium),Edaravone,L-Ascorbic acid,Fosfomycin (calcium),Nikethamide,Fudosteine,Dextrose,Aspirin,Theophylline,Prothionamide,Empty
c,Empty,Acetylcholine (chloride),Heptaminol (hydrochloride),D-Mannitol,D-Sorbitol,Dacarbazine,Mephenesin,Succimer,Tranylcypromine (hemisulfate),Apronal,10-Undecenoic acid,Empty
d,Empty,Secnidazole,Pirfenidone,Sodium phenylbutyrate,Carbimazole,Amantadine (hydrochloride),Aceglutamide,Azelaic acid,Antipyrine,Thio-TEPA,Dopamine (hydrochloride),Empty
e,Empty,Chromocarb,Carglumic Acid,Nitroxoline,Terpin (hydrate),Isosorbide mononitrate,Citric acid,Chlormethine (hydrochloride),Betamipron,Butamben,Temozolomide,Empty
f,Empty,Piperazine (hexahydrate),9-Aminoacridine,Hexylresorcinol,Meglumine,Pargyline (hydrochloride),Methacholine (chloride),L-SelenoMethionine,Hydralazine (hydrochloride),Bethanechol (chloride),Tolazoline (hydrochloride),Empty
g,Empty,Halothane,L-Ascorbic acid sodium salt,Nitrofurazone,Guaifenesin,Oritavancin (diphosphate),Bronopol,Ronidazole,Tegafur,Acamprosate (calcium),Edrophonium (chloride),Empty
h,Empty,Crotamiton,(R)-(-)-Phenylephrine (hydrochloride),D-Panthenol,Trapidil,Etidronic acid,Ibuprofen,α-Lipoic Acid,Miglitol,Ciclopirox,Moroxydine (hydrochloride),Empty
,,,,,,,,,,,,
Plate layout: HY-L022-3,,,,,,,,,,,,
,,,,,,,,,,,,
 ,1,2,3,4,5,6,7,8,9,10,11,12
a,Empty,Gabapentin (hydrochloride),Bendazol,Betahistine (dihydrochloride),Minoxidil,Altretamine,L-Arginine (hydrochloride),Nicorandil,Milrinone,p-Aminosalicylic acid (sodium salt dihydrate),Zonisamide,Empty
b,Empty,Benzyl benzoate,Felbinac,Carmustine,Amifostine,Sulfaguanidine,Clofibric acid,Sulfacarbamide,Glucosamine (hydrochloride),Methoxyphenamine (Hydrochloride),Mexiletine (hydrochloride),Empty
c,Empty,Memantine (hydrochloride),Rimantadine (hydrochloride),Methoxsalen,Gluconate (Calcium),Captopril,Sugammadex (sodium),Gluconate (sodium),Primidone,Phenylpiracetam,Aniracetam,Empty
d,Empty,Ornidazole (Levo-),Ornidazole,Piperazine (malate),Prilocaine,Metaxalone,Phenindione,Acetazolamide,Detomidine (hydrochloride),Bromisoval,Etamivan,Empty
e,Empty,Bufexamac,Fadrozole,R-(-)-Deprenyl (hydrochloride),Stavudine,Etofylline,Furazolidone,Acyclovir,Nimorazole,Carbidopa,Dithranol,Empty
f,Empty,Metyrapone,Chlorquinaldol,Decitabine,Oxybenzone,Ozagrel,Nabumetone,Osalmid,Lamivudine,Bivalirudin (Trifluoroacetate),Naproxen,Empty
g,Empty,Propyphenazone,Ibudilast,Diazoxide,Dihydroergotoxine (mesylate),Nalidixic acid,Aminoglutethimide,Melatonin,Sulbactam,Lomustine,Riluzole,Empty
h,Empty,Phenelzine (sulfate),Stiripentol,Lidocaine,Pamidronic acid,Cevimeline (hydrochloride),Sulfacetamide (Sodium),Didanosine,Carbamazepine,Methazolamide,Zileuton,Empty
,,,,,,,,,,,,
Plate layout: HY-L022-4,,,,,,,,,,,,
,,,,,,,,,,,,
 ,1,2,3,4,5,6,7,8,9,10,11,12
a,Empty,Dropropizine,Levodropropizine,"Eflornithine (hydrochloride, hydrate)",Dexmedetomidine (hydrochloride),Tetrahydrozoline (hydrochloride),Nitrofurantoin,Rufinamide,L-(-)-α-Methyldopa (hydrate),Felbamate,Proxyphylline,Empty
b,Empty,D-Pantothenic acid (hemicalcium salt),Danthron,Imiquimod,Anethole (trithione),Tetramisole (hydrochloride),Levamisole (hydrochloride),D-Pantothenic acid (sodium),Methocarbamol,Tetrahydrobiopterin,Mefenamic acid,Empty
c,Empty,Moxonidine,Telbivudine,Molsidomine,(-)-Huperzine A,Clofibrate,Cytidine,Cytarabine,Agomelatine,5-Azacytidine,Ribavirin,Empty
d,Empty,Uridin,Flurbiprofen,Pidotimod,Etomidate,Tasimelteon,Floxuridine,Doxifluridine,Mafenide (Acetate),Loxoprofen,Busulfan,Empty
e,Empty,Naphazoline (hydrochloride),Emtricitabine,Tinidazole,Triflusal,Topiroxostat,Dapsone,Pyrimethamine,Epinastine,Erdosteine,Phenazopyridine (hydrochloride),Empty
f,Empty,Clorprenaline hydrochloride,Diflunisal,Ozagrel (sodium),Sulfadiazine,Gemfibrozil,Rivastigmine,Alibendol,Hexaminolevulinate (hydrochloride),Naproxen (sodium),Phenytoin,Empty
g,Empty,Oxcarbazepine,Triamterene,Penciclovir,Sulfamethoxazole,Levocarnitine propionate (hydrochloride),Proguanil,Diphylline,Ketoprofen,Nepafenac,Fenbufen,Empty
h,Empty,S-(+)-Ketoprofen,Ganciclovir,Pranoprofen,Miglustat (hydrochloride),Lamotrigine,Irsogladine,sn-Glycero-3-phosphocholine,Carmofur,Procarbazine (Hydrochloride),Thalidomide,Empty
,,,,,,,,,,,,
Plate layout: HY-L022-5,,,,,,,,,,,,
,,,,,,,,,,,,
 ,1,2,3,4,5,6,7,8,9,10,11,12
a,Empty,Salsalate,Sulfogaiacol,Mizoribine,Lenalidomide,Ramelteon,Clevudine,Pyridostigmine (bromide),Setiptiline,Tolfenamic Acid,Gemcitabine,Empty
b,Empty,Ethamsylate,Tulobuterol hydrochloride,Furagin,Vorinostat,Tetracaine,Albendazole,Mirtazapine,Amiloride (hydrochloride),Doxofylline,Pemirolast (potassium),Empty
c,Empty,Nevirapine,Atenolol,Clonidine (hydrochloride),Zidovudine,Vidarabine,Adenosine,Voglibose,Sulfisoxazole,Rasagiline (mesylate),Pentostatin,Empty
d,Empty,Lenalidomide (hemihydrate),Diethylstilbestrol,Moclobemide,Pramiracetam,Meptazinol (hydrochloride),Teriflunomide,Leflunomide,Sulfamethizole,Tolbutamide,Estrone,Empty
e,Empty,Riluzole hydrochloride,Lidocaine (hydrochloride),Procainamide (hydrochloride),Alpha-Estradiol,Estradiol,Tolcapone,Pomalidomide,Carprofen,Chlormezanone,Phenytoin (sodium),Empty
f,Empty,Terbutaline (sulfate),Nifuroxazide,Meticrane,Bupropion (hydrochloride),Flutamide,Menadione bisulfite (sodium),Cyclandelate,Mebhydrolin,Chlorpropamide,Iproniazid (phosphate),Empty
g,Empty,Ethambutol (dihydrochloride),Azathioprine,Sulfathiazole (sodium),Treosulfan,Pentoxifylline,Sulfamethazine,Sulfisomidin,Tipiracil (hydrochloride),Cidofovir,Levosimendan,Empty
h,Empty,Sulfalene,Sulfameter,Sulfamonomethoxine,Fenoprofen (Calcium hydrate),Etomidate (hydrochloride),Xylometazoline (hydrochloride),Flufenamic acid,Tolperisone (hydrochloride),Citric acid (trilithium salt tetrahydrate),Niflumic acid,Empty
,,,,,,,,,,,,
Plate layout: HY-L022-6,,,,,,,,,,,,
,,,,,,,,,,,,
 ,1,2,3,4,5,6,7,8,9,10,11,12
a,Empty,B-HT 920,Artemisinin,Guanfacine (hydrochloride),Milnacipran (hydrochloride),Milnacipran ((1S-cis) hydrochloride),Mepivacaine (hydrochloride),Afloqualone,PTC124,Pramipexole (dihydrochloride),Oseltamivir (acid),Empty
b,Empty,Tropicamide,Tropisetron,Emeramide,Fludarabine,Nifuratel,Letrozole,Probenecid,Cladribine,Alprenolol (hydrochloride),Gastrodin,Empty
c,Empty,Guacetisal,Abacavir,Olprinone (Hydrochloride),Tenofovir,Avibactam (sodium),Galanthamine,Etodolac,Zolmitriptan,Salbutamol (hemisulfate),Piromidic acid,Empty
d,Empty,Estriol,Malotilate,Ciprofibrate,Atropine,Triclosan,Nefopam (hydrochloride),Zoledronic acid (monohydrate),Tizanidine (hydrochloride),Pasiniazid,Trimethoprim,Empty
e,Empty,Octinoxate,Guanabenz (Acetate),Terbinafine,Tripelennamine (hydrochloride),Diphenhydramine (hydrochloride),Anagrelide (hydrochloride),Oxaprozin,Anastrozole,Nonivamide,Benserazide (hydrochloride),Empty
f,Empty,Meclofenoxate (hydrochloride),Troxipide,Embelin,Mebendazole,Entecavir (monohydrate),Pizotifen,Chlorothiazide,Propranolol (hydrochloride),Diclofenac,Trifluorothymidine,Empty
g,Empty,Eslicarbazepine (acetate),Exemestane,Disulfiram,Fenspiride (Hydrochloride),Ropinirole (hydrochloride),Nelarabine,Ibuprofen piconol,Nitroprusside (disodium dihydrate),Amlexanox,Piribedil,Empty
