,Item Name,SMILES,Rack Number,Plate Location,CatalogNumber
0,Benzoic acid,"OC(=O)C1=CC=CC=C1 |c:5,7,t:3|",L1300-10,g6,S4161
1,Potassium iodide,[K+].[I-],L1300-05,e2,S1897
2,Cysteamine HCl,Cl.NCCS,L1300-10,e11,S4206
3,Ifosfamide,ClCCNP1(=O)OCCCN1CCCl,L1300-02,h1,S1302
4,Methenamine (Mandelamine),C1N2CN3CN1CN(C2)C3,L1300-08,d11,S3139
5,"Methimazole (Tapazole, Northyx)",CN1C=CNC1=S |c:2|,L1300-03,f3,S1609
6,"Busulfan (Myleran, Busulfex)",CS(=O)(=O)OCCCCOS(C)(=O)=O,L1300-03,f10,S1692
7,Disulfiram (Antabuse),CCN(CC)C(=S)SSC(=S)N(CC)CC,L1300-03,f9,S1680
8,Dibenzothiophene,"S1C2=CC=CC=C2C2=C1C=CC=C2 |c:3,5,8,11,13,t:1|",L1300-10,d11,S4205
9,Gimeracil,"OC1=CC(=O)NC=C1Cl |c:6,t:1|",L1300-06,f1,S2055
10,Altretamine (Hexalen),"CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C |c:5,7,t:3|",L1300-01,a11,S1278
11,Dimethyl Fumarate,COC(=O)\C=C\C(=O)OC,L1300-08,a1,S2586
12,Amantadine hydrochloride (Symmetrel),Cl.NC12CC3CC(CC(C3)C1)C2,L1300-06,e11,S2451
13,Aminothiazole,"NC1=NC=CS1 |c:3,t:1|",L1300-10,f10,S4198
14,Pyrazinamide (Pyrazinoic acid amide),"NC(=O)C1=NC=CN=C1 |c:5,7,t:3|",L1300-04,b5,S1762
15,Isosorbide,[H][C@]12OC[C@@H](O)[C@@]1([H])OC[C@@H]2O |r|,L1300-10,c11,S4204
16,Guaifenesin (Guaiphenesin),"COC1=C(OCC(O)CO)C=CC=C1 |c:2,10,12|",L1300-04,f3,S1740
17,Acetylcysteine,[H][C@@](CS)(NC(C)=O)C(O)=O |r|,L1300-03,h4,S1623
18,Acetanilide (Antifebrin),"CC(=O)NC1=CC=CC=C1 |c:6,8,t:4|",L1300-07,a8,S2538
19,Amitriptyline HCl,"Cl.CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12 |c:9,11,18,t:7,16,20|",L1300-09,c3,S3183
