,SrcWell,Destination Well,Volume,Plate
1,A19,A1,1500.0,A
3,A19,A2,1495.0,A
5,A19,A3,1465.0,A
7,A19,A4,1382.5,A
9,A19,A5,1220.0,A
11,A19,A6,952.5,A
13,A19,A7,555.0,A
17,A19,A9,1500.0,A
19,A19,A10,1495.0,A
21,A19,A11,1465.0,A
23,A19,A12,1382.5,A
25,A19,A13,1220.0,A
27,A19,A14,952.5,A
29,A19,A15,555.0,A
33,A19,A17,1500.0,A
35,A19,A18,1495.0,A
37,A19,A19,1465.0,A
39,A19,A20,1382.5,A
41,A19,A21,1220.0,A
43,A19,A22,952.5,A
45,A19,A23,555.0,A
49,A19,B1,1500.0,A
51,A19,B2,1495.0,A
53,A19,B3,1465.0,A
55,A19,B4,1382.5,A
57,A19,B5,727.5,A
59,A20,B6,952.5,A
61,A20,B7,555.0,A
65,A20,B9,1500.0,A
67,A20,B10,1495.0,A
69,A20,B11,1465.0,A
71,A20,B12,1382.5,A
73,A20,B13,1220.0,A
75,A20,B14,952.5,A
77,A20,B15,555.0,A
81,A20,B17,1500.0,A
83,A20,B18,1495.0,A
85,A20,B19,1465.0,A
87,A20,B20,1382.5,A
89,A20,B21,1220.0,A
91,A20,B22,952.5,A
93,A20,B23,555.0,A
97,A20,C1,1500.0,A
99,A20,C2,1495.0,A
101,A20,C3,1465.0,A
103,A20,C4,1382.5,A
105,A20,C5,1220.0,A
107,A20,C6,952.5,A
109,A20,C7,555.0,A
113,A20,C9,1500.0,A
115,A20,C10,1495.0,A
117,A20,C11,1465.0,A
119,A20,C12,1382.5,A
121,A20,C13,1220.0,A
123,A20,C14,952.5,A
125,A20,C15,555.0,A
129,A20,C17,1500.0,A
131,A20,C18,1495.0,A
133,A20,C19,1465.0,A
135,A20,C20,1382.5,A
137,A20,C21,1220.0,A
139,A20,C22,952.5,A
141,A20,C23,555.0,A
145,A20,D1,150.0,A
147,A21,D2,1495.0,A
149,A21,D3,1465.0,A
151,A21,D4,1382.5,A
153,A21,D5,1220.0,A
155,A21,D6,952.5,A
157,A21,D7,555.0,A
161,A21,D9,1500.0,A
163,A21,D10,1495.0,A
165,A21,D11,1465.0,A
167,A21,D12,1382.5,A
169,A21,D13,1220.0,A
171,A21,D14,952.5,A
173,A21,D15,555.0,A
177,A21,D17,1500.0,A
179,A21,D18,1495.0,A
181,A21,D19,1465.0,A
183,A21,D20,1382.5,A
185,A21,D21,1220.0,A
187,A21,D22,952.5,A
189,A21,D23,555.0,A
193,A21,E1,1500.0,A
195,A21,E2,1495.0,A
197,A21,E3,1465.0,A
199,A21,E4,1382.5,A
201,A21,E5,1220.0,A
203,A21,E6,952.5,A
205,A21,E7,555.0,A
209,A21,E9,1500.0,A
211,A21,E10,1495.0,A
213,A21,E11,1465.0,A
215,A21,E12,1382.5,A
217,A21,E13,1220.0,A
219,A21,E14,952.5,A
221,A21,E15,555.0,A
225,A21,E17,1500.0,A
227,A21,E18,800.0,A
229,A22,E19,1465.0,A
231,A22,E20,1382.5,A
233,A22,E21,1220.0,A
235,A22,E22,952.5,A
237,A22,E23,555.0,A
241,A22,F1,1500.0,A
243,A22,F2,1495.0,A
245,A22,F3,1465.0,A
247,A22,F4,1382.5,A
249,A22,F5,1220.0,A
251,A22,F6,952.5,A
253,A22,F7,555.0,A
257,A22,F9,1500.0,A
259,A22,F10,1495.0,A
261,A22,F11,1465.0,A
263,A22,F12,1382.5,A
265,A22,F13,1220.0,A
267,A22,F14,952.5,A
269,A22,F15,555.0,A
273,A22,F17,1500.0,A
275,A22,F18,1495.0,A
277,A22,F19,1465.0,A
279,A22,F20,1382.5,A
281,A22,F21,1220.0,A
283,A22,F22,952.5,A
285,A22,F23,555.0,A
289,A22,G1,1500.0,A
291,A22,G2,1495.0,A
293,A22,G3,1465.0,A
295,A22,G4,1382.5,A
297,A22,G5,1220.0,A
299,A22,G6,952.5,A
301,A22,G7,555.0,A
305,A22,G9,1500.0,A
307,A22,G10,1495.0,A
309,A22,G11,1455.0,A
311,A23,G12,1382.5,A
313,A23,G13,1220.0,A
315,A23,G14,952.5,A
317,A23,G15,555.0,A
321,A23,G17,1500.0,A
323,A23,G18,1495.0,A
325,A23,G19,1465.0,A
327,A23,G20,1382.5,A
329,A23,G21,1220.0,A
331,A23,G22,952.5,A
333,A23,G23,555.0,A
337,A23,H1,1500.0,A
339,A23,H2,1495.0,A
341,A23,H3,1465.0,A
343,A23,H4,1382.5,A
345,A23,H5,1220.0,A
347,A23,H6,952.5,A
349,A23,H7,555.0,A
353,A23,H9,1500.0,A
355,A23,H10,1495.0,A
357,A23,H11,1465.0,A
359,A23,H12,1382.5,A
361,A23,H13,1220.0,A
363,A23,H14,952.5,A
365,A23,H15,555.0,A
369,A23,H17,1500.0,A
371,A23,H18,1495.0,A
373,A23,H19,1465.0,A
375,A23,H20,1382.5,A
377,A23,H21,1220.0,A
379,A23,H22,952.5,A
381,A23,H23,555.0,A
385,A23,I1,1500.0,A
387,A23,I2,1495.0,A
389,A23,I3,1465.0,A
391,A23,I4,1382.5,A
393,A23,I5,757.5,A
395,A24,I6,952.5,A
397,A24,I7,555.0,A
401,A24,I9,1500.0,A
403,A24,I10,1495.0,A
405,A24,I11,1465.0,A
407,A24,I12,1382.5,A
409,A24,I13,1220.0,A
411,A24,I14,952.5,A
413,A24,I15,555.0,A
417,A24,I17,1500.0,A
419,A24,I18,1495.0,A
421,A24,I19,1465.0,A
423,A24,I20,1382.5,A
425,A24,I21,1220.0,A
427,A24,I22,952.5,A
429,A24,I23,555.0,A
433,A24,J1,1500.0,A
