,SrcWell,Destination Well,Volume,Plate
1,C7,A1,1500.0,A
2,A3,A2,5.0,B
3,C7,A2,1495.0,A
4,A3,A3,35.0,B
5,C7,A3,1465.0,A
6,A3,A4,117.5,B
7,C7,A4,1382.5,A
8,A3,A5,280.0,B
9,C7,A5,997.5,A
10,A3,A6,547.5,B
11,C8,A6,952.5,A
12,A3,A7,945.0,B
13,C8,A7,555.0,A
14,A3,A8,1500.0,B
17,C8,A9,1500.0,A
18,A7,A10,5.0,B
19,C8,A10,1495.0,A
20,A7,A11,35.0,B
21,C8,A11,1465.0,A
22,A7,A12,117.5,B
23,C8,A12,1382.5,A
24,A7,A13,280.0,B
25,C8,A13,1220.0,A
26,A7,A14,547.5,B
27,C8,A14,952.5,A
28,A7,A15,945.0,B
29,C8,A15,555.0,A
30,A7,A16,1500.0,B
33,C8,A17,1500.0,A
34,A11,A18,5.0,B
35,C8,A18,1495.0,A
36,A11,A19,35.0,B
37,C8,A19,1465.0,A
38,A11,A20,117.5,B
39,C8,A20,1382.5,A
40,A11,A21,280.0,B
41,C8,A21,1220.0,A
42,A11,A22,547.5,B
43,C8,A22,952.5,A
44,A11,A23,945.0,B
45,C8,A23,555.0,A
46,A11,A24,1500.0,B
49,C8,B1,1500.0,A
50,A15,B2,5.0,B
51,C8,B2,1495.0,A
52,A15,B3,35.0,B
53,C8,B3,1465.0,A
54,A15,B4,117.5,B
55,C8,B4,1382.5,A
56,A15,B5,280.0,B
57,C8,B5,1220.0,A
58,A15,B6,547.5,B
59,C8,B6,952.5,A
60,A15,B7,945.0,B
61,C8,B7,555.0,A
62,A15,B8,1500.0,B
65,C8,B9,1500.0,A
66,A19,B10,5.0,B
67,C8,B10,1495.0,A
68,A19,B11,35.0,B
69,C8,B11,1465.0,A
70,A19,B12,117.5,B
71,C8,B12,1382.5,A
72,A19,B13,280.0,B
73,C8,B13,1220.0,A
74,A19,B14,547.5,B
75,C8,B14,952.5,A
76,A19,B15,945.0,B
