,SrcWell,Destination Well,Volume,Plate
1,B4,A1,1500.0,A
3,B4,A2,1495.0,A
5,B4,A3,1465.0,A
7,B4,A4,1382.5,A
9,B4,A5,1220.0,A
11,B4,A6,952.5,A
13,B4,A7,555.0,A
17,B4,A9,1500.0,A
19,B4,A10,1495.0,A
21,B4,A11,1465.0,A
23,B4,A12,1382.5,A
25,B4,A13,1220.0,A
27,B4,A14,952.5,A
29,B4,A15,555.0,A
33,B4,A17,1500.0,A
35,B4,A18,1495.0,A
37,B4,A19,1465.0,A
39,B4,A20,1382.5,A
41,B4,A21,1220.0,A
43,B4,A22,952.5,A
45,B4,A23,555.0,A
49,B4,B1,210.0,A
51,B5,B2,1495.0,A
53,B5,B3,1465.0,A
55,B5,B4,1382.5,A
57,B5,B5,1220.0,A
59,B5,B6,952.5,A
61,B5,B7,555.0,A
65,B5,B9,1500.0,A
67,B5,B10,1495.0,A
69,B5,B11,1465.0,A
71,B5,B12,1382.5,A
73,B5,B13,1220.0,A
75,B5,B14,952.5,A
77,B5,B15,555.0,A
81,B5,B17,1500.0,A
83,B5,B18,1495.0,A
85,B5,B19,1465.0,A
87,B5,B20,1382.5,A
89,B5,B21,1220.0,A
91,B5,B22,952.5,A
93,B5,B23,555.0,A
97,B5,C1,1500.0,A
99,B5,C2,1495.0,A
101,B5,C3,1465.0,A
103,B5,C4,1382.5,A
105,B5,C5,1220.0,A
107,B5,C6,952.5,A
109,B5,C7,555.0,A
113,B5,C9,1500.0,A
115,B5,C10,1495.0,A
117,B5,C11,1465.0,A
119,B5,C12,1382.5,A
121,B5,C13,1220.0,A
123,B5,C14,952.5,A
125,B5,C15,555.0,A
129,B5,C17,1500.0,A
131,B5,C18,860.0,A
133,B6,C19,1465.0,A
135,B6,C20,1382.5,A
137,B6,C21,1220.0,A
139,B6,C22,952.5,A
141,B6,C23,555.0,A
145,B6,D1,1500.0,A
147,B6,D2,1495.0,A
149,B6,D3,1465.0,A
151,B6,D4,1382.5,A
153,B6,D5,1220.0,A
155,B6,D6,952.5,A
157,B6,D7,555.0,A
161,B6,D9,1500.0,A
163,B6,D10,1495.0,A
165,B6,D11,1465.0,A
167,B6,D12,1382.5,A
169,B6,D13,1220.0,A
171,B6,D14,952.5,A
173,B6,D15,555.0,A
177,B6,D17,1500.0,A
179,B6,D18,1495.0,A
181,B6,D19,1465.0,A
183,B6,D20,1382.5,A
185,B6,D21,1220.0,A
187,B6,D22,952.5,A
