,SrcWell,Destination Well,Volume,Plate
1,B4,A1,1500.0,A
2,A2,A2,5.0,B
3,B4,A2,1495.0,A
4,A2,A3,35.0,B
5,B4,A3,1465.0,A
6,A2,A4,117.5,B
7,B4,A4,1382.5,A
8,A2,A5,280.0,B
9,B4,A5,1220.0,A
10,A2,A6,547.5,B
11,B4,A6,952.5,A
12,A2,A7,945.0,B
13,B4,A7,555.0,A
14,A2,A8,1500.0,B
17,B4,A9,1500.0,A
18,A6,A10,5.0,B
19,B4,A10,1495.0,A
20,A6,A11,35.0,B
21,B4,A11,1465.0,A
22,A6,A12,117.5,B
23,B4,A12,1382.5,A
24,A6,A13,280.0,B
25,B4,A13,1220.0,A
26,A6,A14,547.5,B
27,B4,A14,952.5,A
28,A6,A15,945.0,B
29,B4,A15,555.0,A
30,A6,A16,1500.0,B
33,B4,A17,1500.0,A
34,A10,A18,5.0,B
35,B4,A18,1495.0,A
36,A10,A19,35.0,B
37,B4,A19,1465.0,A
38,A10,A20,117.5,B
39,B4,A20,1382.5,A
40,A10,A21,280.0,B
41,B4,A21,1220.0,A
42,A10,A22,547.5,B
43,B4,A22,952.5,A
44,A10,A23,945.0,B
45,B4,A23,555.0,A
46,A10,A24,1500.0,B
49,B4,B1,210.0,A
50,A14,B2,5.0,B
51,B5,B2,1495.0,A
52,A14,B3,35.0,B
53,B5,B3,1465.0,A
54,A14,B4,117.5,B
55,B5,B4,1382.5,A
56,A14,B5,280.0,B
57,B5,B5,1220.0,A
58,A14,B6,547.5,B
59,B5,B6,952.5,A
60,A14,B7,945.0,B
61,B5,B7,555.0,A
62,A14,B8,1500.0,B
65,B5,B9,1500.0,A
66,A18,B10,5.0,B
67,B5,B10,1495.0,A
68,A18,B11,35.0,B
69,B5,B11,1465.0,A
70,A18,B12,117.5,B
71,B5,B12,1382.5,A
72,A18,B13,280.0,B
73,B5,B13,1220.0,A
74,A18,B14,547.5,B
75,B5,B14,952.5,A
76,A18,B15,945.0,B
77,B5,B15,555.0,A
