Run ID,1615476924
Run Date/Time,2021-03-11 15:31:53
Application Name,Labcyte Echo Plate Reformat
Application Version,1.6.4
Protocol Name,a4dmso.epr
User Name,Lab

[DETAILS]
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Destination Plate Name,Destination Plate Barcode,Destination Plate Type,Destination Well,Destination Well X Offset,Destination Well Y Offset,Sample ID,Sample Name,Transfer Volume,Actual Volume,Current Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Transfer Status
Source[1],,384PP_DMSO2,C7,Destination[1],,384PP_Dest,A1,0,0,,,1500,1500,61.564,97.361,Percent,DMSO,
Source[1],,384PP_DMSO2,C7,Destination[1],,384PP_Dest,A2,0,0,,,1495,1495,60.069,97.361,Percent,DMSO,
Source[1],,384PP_DMSO2,C7,Destination[1],,384PP_Dest,A3,0,0,,,1465,1465,58.604,97.361,Percent,DMSO,
Source[1],,384PP_DMSO2,C7,Destination[1],,384PP_Dest,A4,0,0,,,1382.5,1382.5,57.222,97.361,Percent,DMSO,
Source[1],,384PP_DMSO2,C7,Destination[1],,384PP_Dest,A5,0,0,,,997.5,997.5,56.224,97.361,Percent,DMSO,
Source[1],,384PP_DMSO2,C8,Destination[1],,384PP_Dest,A6,0,0,,,952.5,952.5,62.579,97.622,Percent,DMSO,
Source[1],,384PP_DMSO2,C8,Destination[1],,384PP_Dest,A7,0,0,,,555,555,62.024,97.622,Percent,DMSO,
Source[1],,384PP_DMSO2,C8,Destination[1],,384PP_Dest,A9,0,0,,,1500,1500,60.524,97.622,Percent,DMSO,
Source[1],,384PP_DMSO2,C8,Destination[1],,384PP_Dest,A10,0,0,,,1495,1495,59.029,97.622,Percent,DMSO,
Source[1],,384PP_DMSO2,C8,Destination[1],,384PP_Dest,A11,0,0,,,1465,1465,57.564,97.622,Percent,DMSO,
Source[1],,384PP_DMSO2,C8,Destination[1],,384PP_Dest,A12,0,0,,,1382.5,1382.5,56.181,97.622,Percent,DMSO,
