Run ID,1615480391
Run Date/Time,2021-03-11 16:29:40
Application Name,Labcyte Echo Plate Reformat
Application Version,1.6.4
Protocol Name,b3dmso.epr
User Name,Lab

[DETAILS]
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Destination Plate Name,Destination Plate Barcode,Destination Plate Type,Destination Well,Destination Well X Offset,Destination Well Y Offset,Sample ID,Sample Name,Transfer Volume,Actual Volume,Current Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Transfer Status
Source[1],,384PP_DMSO2,B22,Destination[1],,384PP_Dest,A1,0,0,,,1500,1500,30.156,94.822,Percent,DMSO,
Source[1],,384PP_DMSO2,B22,Destination[1],,384PP_Dest,A2,0,0,,,1495,1495,28.661,94.822,Percent,DMSO,
Source[1],,384PP_DMSO2,B22,Destination[1],,384PP_Dest,A3,0,0,,,1465,1465,27.196,94.822,Percent,DMSO,
Source[1],,384PP_DMSO2,B22,Destination[1],,384PP_Dest,A4,0,0,,,1382.5,1382.5,25.814,94.822,Percent,DMSO,
Source[1],,384PP_DMSO2,B22,Destination[1],,384PP_Dest,A5,0,0,,,1220,1220,24.594,94.822,Percent,DMSO,
Source[1],,384PP_DMSO2,B22,Destination[1],,384PP_Dest,A6,0,0,,,952.5,952.5,23.641,94.822,Percent,DMSO,
Source[1],,384PP_DMSO2,B22,Destination[1],,384PP_Dest,A7,0,0,,,555,555,23.086,94.822,Percent,DMSO,
Source[1],,384PP_DMSO2,B22,Destination[1],,384PP_Dest,A9,0,0,,,1500,1500,20.747,97.744,Percent,DMSO,
Source[1],,384PP_DMSO2,B22,Destination[1],,384PP_Dest,A10,0,0,,,1495,1495,19.252,97.744,Percent,DMSO,
Source[1],,384PP_DMSO2,B22,Destination[1],,384PP_Dest,A11,0,0,,,1465,1465,17.787,97.744,Percent,DMSO,
Source[1],,384PP_DMSO2,B22,Destination[1],,384PP_Dest,A12,0,0,,,170,170,17.617,97.744,Percent,DMSO,
Source[1],,384PP_DMSO2,B23,Destination[1],,384PP_Dest,A13,0,0,,,1220,1220,62.073,99.01,Percent,DMSO,
Source[1],,384PP_DMSO2,B23,Destination[1],,384PP_Dest,A14,0,0,,,952.5,952.5,61.12,99.01,Percent,DMSO,
Source[1],,384PP_DMSO2,B23,Destination[1],,384PP_Dest,A15,0,0,,,555,555,60.565,99.01,Percent,DMSO,
Source[1],,384PP_DMSO2,B23,Destination[1],,384PP_Dest,A17,0,0,,,1500,1500,59.065,99.01,Percent,DMSO,
Source[1],,384PP_DMSO2,B23,Destination[1],,384PP_Dest,A18,0,0,,,1495,1495,57.57,99.01,Percent,DMSO,
Source[1],,384PP_DMSO2,B23,Destination[1],,384PP_Dest,A19,0,0,,,1465,1465,56.105,99.01,Percent,DMSO,
Source[1],,384PP_DMSO2,B23,Destination[1],,384PP_Dest,A20,0,0,,,1382.5,1382.5,54.723,99.01,Percent,DMSO,
Source[1],,384PP_DMSO2,B23,Destination[1],,384PP_Dest,A21,0,0,,,1220,1220,53.503,99.01,Percent,DMSO,
Source[1],,384PP_DMSO2,B23,Destination[1],,384PP_Dest,A22,0,0,,,952.5,952.5,53.525,99.01,Percent,DMSO,
Source[1],,384PP_DMSO2,B23,Destination[1],,384PP_Dest,A23,0,0,,,555,555,52.97,99.01,Percent,DMSO,
