,Item Name,CatalogNumber,Rack Number,Plate Location,Master Plate Well,SMILES
0,Altretamine (Hexalen),S1278,L1300-01,a11,A1,
1,Leflunomide,S1247,L1300-01,c9,A2,
1,Potassium iodide,S1897,L1300-05,e2,F9,[K+].[I-]
2,Valproic acid sodium salt (Sodium valproate),S1168,L1300-01,f4,A3,
3,Letrozole,S1235,L1300-01,g8,A4,
4,Malotilate,S1137,L1300-01,h3,A5,
5,Rufinamide (Banzel),S1256,L1300-01,h9,A6,
6,Carmofur,S1289,L1300-02,b1,A7,
6,Adrucil (Fluorouracil),S1209,L1300-01,g6,C6,FC1=CNC(=O)NC1=O |t:1|
7,Mercaptopurine,S1305,L1300-02,b2,A8,
8,Dimethyl Fumarate,S2586,L1300-08,a1,G5,COC(=O)\C=C\C(=O)OC
9,Levetiracetam,S1356,L1300-02,d4,A10,
10,Ifosfamide,S1302,L1300-02,h1,A11,
11,Zonisamide,S1445,L1300-02,h9,A12,
12,Riluzole (Rilutek),S1614,L1300-03,b4,B1,
13,Pyridostigmine Bromide (Mestinon),S1608,L1300-03,e3,B2,
14,"Busulfan (Myleran, Busulfex)",S1692,L1300-03,f10,B3,
15,"Methimazole (Tapazole, Northyx)",S1609,L1300-03,f3,B4,
16,Allopurinol (Zyloprim),S1630,L1300-03,f5,B5,
17,Disulfiram (Antabuse),S1680,L1300-03,f9,B6,
18,Protionamide (Prothionamide),S1881,L1300-05,c1,A9,"CCCC1=NC=CC(=C1)C(N)=S |c:5,7,t:3|"
18,Prednisone (Adasone),S1622,L1300-03,g4,B7,
19,Acetylcysteine,S1623,L1300-03,h4,B8,
20,"Mesna (Uromitexan, Mesnex)",S1735,L1300-04,a3,B9,
21,Malotilate,S1137,L1300-01,h3,H6,CC(C)OC(=O)C(C(=O)OC(C)C)=C1SC=CS1 |c:15|
21,"Terbinafine (Lamisil, Terbinex)",S1725,L1300-04,b2,B10,
22,Pyrazinamide (Pyrazinoic acid amide),S1762,L1300-04,b5,B11,
22,Mercaptopurine,S1305,L1300-02,b2,D8,"S=C1N=CNC2=C1NC=N2 |c:2,5,9|"
23,Lomustine (CeeNU),S1840,L1300-04,c10,B12,
24,Ethionamide,S1777,L1300-04,c6,C1,
25,Diethylstilbestrol (Stilbestrol),S1859,L1300-04,d11,C2,
26,Diphenhydramine HCl (Benadryl),S1866,L1300-04,f11,C3,
27,Mitotane (Lysodren),S1732,L1300-04,f2,C4,
28,Propylthiouracil,S1988,L1300-05,a8,C5,
30,Potassium iodide,S1897,L1300-05,e2,C7,
31,Menadione,S1949,L1300-05,f5,C8,
32,Chlormezanone (Trancopal),S2021,L1300-05,f9,C9,
33,Tioconazole,S1910,L1300-05,g3,C10,
34,Bromhexine HCl,S2060,L1300-06,b2,C11,
35,Amantadine hydrochloride (Symmetrel),S2451,L1300-06,e11,C12,
36,Rasagiline mesylate,S2102,L1300-06,e5,D1,
36,"Terbinafine (Lamisil, Terbinex)",S1725,L1300-04,b2,E11,"CN(C\C=C\C#CC(C)(C)C)CC1=CC=CC2=CC=CC=C12 |c:14,18,t:12,16,20|"
37,Gimeracil,S2055,L1300-06,f1,D2,
38,Detomidine HCl,S2092,L1300-06,g4,D3,
38,Mepiroxol,S4333,L1300-11,f6,E10,"OCC1=C[N+]([O-])=CC=C1 |c:5,7,t:2|"
39,Tolnaftate,S2058,L1300-06,h1,D4,
40,Bethanechol chloride,S2455,L1300-07,a1,D5,
41,Acetanilide (Antifebrin),S2538,L1300-07,a8,D6,
42,Chlorpromazine (Sonazine),S2456,L1300-07,b1,D7,
44,Milrinone (Primacor),S2484,L1300-07,b3,D9,
45,Xylazine HCl,S2516,L1300-07,b6,D10,
46,Maprotiline hydrochloride,S2517,L1300-07,c6,D11,
47,Clonidine hydrochloride (Catapres),S2458,L1300-07,d1,D12,
48,Scopine,S2545,L1300-07,e8,E1,
49,Phenytoin sodium (Dilantin),S2524,L1300-07,g6,E2,
50,Dimethyl Fumarate,S2586,L1300-08,a1,E3,
51,Aspirin (Acetylsalicylic acid),S3017,L1300-08,a5,E4,
52,Tioxolone,S2603,L1300-08,b2,E5,
53,Arecoline,S2614,L1300-08,b3,E6,
54,Methenamine (Mandelamine),S3139,L1300-08,d11,E7,
55,Paroxetine HCl,S3005,L1300-08,d4,E8,
56,Moguisteine,S3104,L1300-08,e9,E9,
59,Moclobemide,S3212,L1300-09,a5,E12,
60,Cyclamic  acid,S4015,L1300-09,c6,F1,
61,Antipyrine,S3173,L1300-09,e2,F2,
62,Carbimazole,S4048,L1300-09,e9,F3,
63,Tolcapone,S4021,L1300-09,h6,F4,
64,Diphemanil methylsulfate,S4034,L1300-09,h7,F5,
65,Pyrithione zinc,S4075,L1300-10,a1,F6,
66,Florfenicol,S4201,L1300-10,a11,F7,
67,Propranolol HCl,S4076,L1300-10,b1,F8,
69,Mequinol,S4077,L1300-10,c1,F10,
70,Broxyquinoline,S4195,L1300-10,c10,F11,
71,Isosorbide,S4204,L1300-10,c11,F12,
72,Chlorpropamide,S4166,L1300-10,c7,G1,
73,Mefenamic acid,S4078,L1300-10,d1,G2,
74,Dibenzothiophene,S4205,L1300-10,d11,G3,
75,Uracil,S4177,L1300-10,d8,G4,
77,Cysteamine HCl,S4206,L1300-10,e11,G6,
78,Isovaleramide,S4116,L1300-10,e4,G7,
79,Amprolium HCl,S4144,L1300-10,e5,G8,
80,Climbazole,S4178,L1300-10,e8,G9,
81,Aminothiazole,S4198,L1300-10,f10,G10,
82,Fenspiride HCl,S4090,L1300-10,f2,G11,
83,Coumarin,S4170,L1300-10,f7,G12,
84,Cyclandelate,S4189,L1300-10,f9,H1,
85,Antazoline HCl,S4199,L1300-10,g10,H2,
86,Choline Chloride,S4171,L1300-10,g7,H3,
87,Chlorocresol,S4209,L1300-10,h11,H4,
88,Pilocarpine HCl,S4231,L1300-11,a3,H5,
90,Zoxazolamine,S4233,L1300-11,c3,H7,
91,Mepiroxol,S4333,L1300-11,f6,H8,
92,Azaperone,S4219,L1300-11,g1,H9,
93,Oxaprozin,S4230,L1300-11,h2,H10,
94,Dicyclomine HCl,S4373,L1300-11,h9,H11,
95,Procodazole,S4408,L1300-12,d1,H12,
