Source Plate Name	Source Plate Barcode	Source Plate Type	Source Well	Destination Plate Name	Destination Plate Barcode	Destination Plate Type	Destination Well	Destination Well X Offset	Destination Well Y Offset	Sample ID	Sample Name	Transfer Volume	Actual Volume	Current Fluid Volume	Fluid Composition	Fluid Units	Fluid Type	Transfer Status
Source[1]		384LDV_DMSO	A1	Destination[1]		384PP_Dest	A1	0	0			1500	900	1.45	78.25	Percent	DMSO	MM0202006: Problem calc. eo fc: 1.78867 ft: 0.332817
Source[1]		384LDV_DMSO	N1	Destination[1]		384PP_Dest	N1	0	0			1500	0	1.522	78.496	Percent	DMSO	MM0202006: Problem calc. eo fc: 1.78728 ft: 0.348382
Source[1]		384LDV_DMSO	O1	Destination[1]		384PP_Dest	O1	0	0			1500	1200	1.588	75.811	Percent	DMSO	MM0202006: Problem calc. eo fc: 1.80218 ft: 0.373171
Source[1]		384LDV_DMSO	P2	Destination[1]		384PP_Dest	P2	0	0			1500	0	1.552	76.191	Percent	DMSO	MM0202006: Problem calc. eo fc: 1.80011 ft: 0.363022
Source[1]		384LDV_DMSO	O2	Destination[1]		384PP_Dest	O2	0	0			1500	1200	1.46	80.069	Percent	DMSO	MM0202006: Problem calc. eo fc: 1.77823 ft: 0.328437
Source[1]		384LDV_DMSO	C2	Destination[1]		384PP_Dest	C2	0	0			1500	1200	1.676	81.79	Percent	DMSO	MM0202006: Problem calc. eo fc: 1.76803 ft: 0.366502
Source[1]		384LDV_DMSO	A2	Destination[1]		384PP_Dest	A2	0	0			1500	0	1.539	81.482	Percent	DMSO	MM0202006: Problem calc. eo fc: 1.76988 ft: 0.337872
Source[1]		384LDV_DMSO	A3	Destination[1]		384PP_Dest	A3	0	0			1500	300	1.487	79.893	Percent	DMSO	MM0202006: Problem calc. eo fc: 1.77926 ft: 0.335553
Source[1]		384LDV_DMSO	C3	Destination[1]		384PP_Dest	C3	0	0			1500	0	0	0	Percent	DMSO	MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[1]		384LDV_DMSO	G3	Destination[1]		384PP_Dest	G3	0	0			1500	0	0	0	Percent	DMSO	MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[1]		384LDV_DMSO	D4	Destination[1]		384PP_Dest	D4	0	0			1500	900	1.63	83.474	Percent	DMSO	MM0202006: Problem calc. eo fc: 1.75772 ft: 0.34613
Source[1]		384LDV_DMSO	C4	Destination[1]		384PP_Dest	C4	0	0			1500	600	1.599	82.143	Percent	DMSO	MM0202006: Problem calc. eo fc: 1.7659 ft: 0.347534
Source[1]		384LDV_DMSO	A4	Destination[1]		384PP_Dest	A4	0	0			1500	600	1.404	80.225	Percent	DMSO	MM0202006: Problem calc. eo fc: 1.77732 ft: 0.315116
Source[1]		384LDV_DMSO	A5	Destination[1]		384PP_Dest	A5	0	0			1500	300	1.682	80.749	Percent	DMSO	MM0202006: Problem calc. eo fc: 1.77424 ft: 0.374196
Source[1]		384LDV_DMSO	C5	Destination[1]		384PP_Dest	C5	0	0			1500	1200	1.535	82.888	Percent	DMSO	MM0202006: Problem calc. eo fc: 1.76135 ft: 0.329379
Source[1]		384LDV_DMSO	L5	Destination[1]		384PP_Dest	L5	0	0			1500	0	1.494	83.649	Percent	DMSO	MM0202006: Problem calc. eo fc: 1.75663 ft: 0.315824
Source[1]		384LDV_DMSO	O5	Destination[1]		384PP_Dest	O5	0	0			1500	0	1.616	79.956	Percent	DMSO	MM0202006: Problem calc. eo fc: 1.77889 ft: 0.364195
Source[1]		384LDV_DMSO	A6	Destination[1]		384PP_Dest	A6	0	0			1500	600	1.497	83.127	Percent	DMSO	MM0202006: Problem calc. eo fc: 1.75988 ft: 0.319783
Source[1]		384LDV_DMSO	C7	Destination[1]		384PP_Dest	C7	0	0			1500	1200	1.698	83.049	Percent	DMSO	MM0202006: Problem calc. eo fc: 1.76036 ft: 0.363347
Source[1]		384LDV_DMSO	I7	Destination[1]		384PP_Dest	I7	0	0			1500	1200	1.611	86.175	Percent	DMSO	MM0202006: Problem calc. eo fc: 1.74043 ft: 0.334452
Source[1]		384LDV_DMSO	O7	Destination[1]		384PP_Dest	O7	0	0			1500	600	1.721	81.278	Percent	DMSO	MM0202006: Problem calc. eo fc: 1.7711 ft: 0.379689
Source[1]		384LDV_DMSO	P7	Destination[1]		384PP_Dest	P7	0	0			1500	0	1.518	79.693	Percent	DMSO	MM0202006: Problem calc. eo fc: 1.78042 ft: 0.343509
