Run ID,1646728331
Run Date/Time,2022-03-08 08:31:23
Application Name,Labcyte Echo Plate Reformat
Application Version,1.6.4
Protocol Name,2022-03-08-00.2-echo-protocol.epr
User Name,Lab

[DETAILS]
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Survey Fluid Height,Survey Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Survey Status
Source[1],UnknownBarCode,384LDV_DMSO,A2,0,0,0,Percent,DMSO,"Data missing for well (1th row, 2th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,A3,0,0,0,Percent,DMSO,"Data missing for well (1th row, 3th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,A4,0,0,0,Percent,DMSO,"Data missing for well (1th row, 4th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,A5,0,0,0,Percent,DMSO,"Data missing for well (1th row, 5th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,A6,0,0,0,Percent,DMSO,"Data missing for well (1th row, 6th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,A7,0,0,0,Percent,DMSO,"Data missing for well (1th row, 7th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,A8,0,0,0,Percent,DMSO,"Data missing for well (1th row, 8th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,A9,0,0,0,Percent,DMSO,"Data missing for well (1th row, 9th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,A10,0,0,0,Percent,DMSO,"Data missing for well (1th row, 10th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,A11,0,0,0,Percent,DMSO,"Data missing for well (1th row, 11th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,A12,0,0,0,Percent,DMSO,"Data missing for well (1th row, 12th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,A13,0,0,0,Percent,DMSO,"Data missing for well (1th row, 13th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,A14,0,0,0,Percent,DMSO,"Data missing for well (1th row, 14th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,A15,0,0,0,Percent,DMSO,"Data missing for well (1th row, 15th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,A16,0,0,0,Percent,DMSO,"Data missing for well (1th row, 16th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,A17,0,0,0,Percent,DMSO,"Data missing for well (1th row, 17th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,A18,0,0,0,Percent,DMSO,"Data missing for well (1th row, 18th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,A19,0,0,0,Percent,DMSO,"Data missing for well (1th row, 19th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,A20,0,0,0,Percent,DMSO,"Data missing for well (1th row, 20th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,B2,0,0,0,Percent,DMSO,"Data missing for well (2th row, 2th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,B3,2.108,9.813,77.617,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B4,1.708,8.032,81.556,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B5,2.181,10.437,89.583,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B6,2.463,11.339,72.78,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B7,2.249,10.82,91.977,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B8,1.203,5.641,81.74,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B9,2.1,10.085,91.156,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B10,0.749,3.456,80.974,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B11,2.257,10.848,91.587,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B12,1.145,5.379,82.228,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B13,2.09,9.901,83.318,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B14,1.018,4.802,82.967,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B15,2.115,9.991,83.034,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B16,0.876,4.142,83.385,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B17,2.208,10.327,78.713,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B18,0.87,4.102,81.967,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B19,1.544,7.025,73.887,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B20,0.686,3.237,83.251,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,C2,0,0,0,Percent,DMSO,"Data missing for well (3th row, 2th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,C3,0,0,0,Percent,DMSO,"Data missing for well (3th row, 3th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,C4,0,0,0,Percent,DMSO,"Data missing for well (3th row, 4th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,C5,0,0,0,Percent,DMSO,"Data missing for well (3th row, 5th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,C6,0,0,0,Percent,DMSO,"Data missing for well (3th row, 6th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,C7,0,0,0,Percent,DMSO,"Data missing for well (3th row, 7th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,C8,0,0,0,Percent,DMSO,"Data missing for well (3th row, 8th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,C9,0,0,0,Percent,DMSO,"Data missing for well (3th row, 9th column), defaulting to 0.0 percent DMSO"
