Run ID,1646729444
Run Date/Time,2022-03-08 08:49:55
Application Name,Labcyte Echo Plate Reformat
Application Version,1.6.4
Protocol Name,2022-03-08-00.2-echo-protocol-test.epr
User Name,Lab

[EXCEPTIONS]
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Destination Plate Name,Destination Plate Barcode,Destination Plate Type,Destination Well,Destination Well X Offset,Destination Well Y Offset,Sample ID,Sample Name,Transfer Volume,Actual Volume,Current Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Transfer Status
Source[1],,384LDV_DMSO,I8,Destination[1],,384PP_Dest,F22,0,0,,,167.5,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[1],,384LDV_DMSO,I8,Destination[1],,384PP_Dest,F23,0,0,,,667.5,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[1],,384LDV_DMSO,I8,Destination[1],,384PP_Dest,F24,0,0,,,1500,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[1],,384LDV_DMSO,K8,Destination[1],,384PP_Dest,G3,0,0,,,167.5,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[1],,384LDV_DMSO,K8,Destination[1],,384PP_Dest,G4,0,0,,,667.5,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[1],,384LDV_DMSO,K8,Destination[1],,384PP_Dest,G5,0,0,,,1500,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[1],,384LDV_DMSO,C4,Destination[1],,384PP_Dest,C1,0,0,,,1500,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[1],,384LDV_DMSO,C4,Destination[1],,384PP_Dest,B24,0,0,,,667.5,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[1],,384LDV_DMSO,C4,Destination[1],,384PP_Dest,B23,0,0,,,167.5,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[1],,384LDV_DMSO,M16,Destination[1],,384PP_Dest,N1,0,0,,,667.5,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[1],,384LDV_DMSO,M16,Destination[1],,384PP_Dest,N2,0,0,,,1500,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[1],,384LDV_DMSO,M16,Destination[1],,384PP_Dest,M24,0,0,,,167.5,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[1],,384LDV_DMSO,I18,Destination[1],,384PP_Dest,O8,0,0,,,1500,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[1],,384LDV_DMSO,I18,Destination[1],,384PP_Dest,O7,0,0,,,667.5,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[1],,384LDV_DMSO,I18,Destination[1],,384PP_Dest,O6,0,0,,,167.5,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0

[DETAILS]
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Destination Plate Name,Destination Plate Barcode,Destination Plate Type,Destination Well,Destination Well X Offset,Destination Well Y Offset,Sample ID,Sample Name,Transfer Volume,Actual Volume,Current Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Transfer Status
Source[1],,384LDV_DMSO,A10,Destination[1],,384PP_Dest,G18,0,0,,,167.5,167.5,7.796,88.716,Percent,DMSO,
Source[1],,384LDV_DMSO,A10,Destination[1],,384PP_Dest,G19,0,0,,,667.5,667.5,7.129,88.716,Percent,DMSO,
Source[1],,384LDV_DMSO,A10,Destination[1],,384PP_Dest,G20,0,0,,,1500,1500,5.629,88.716,Percent,DMSO,
Source[1],,384LDV_DMSO,C10,Destination[1],,384PP_Dest,G23,0,0,,,167.5,167.5,8.242,92.137,Percent,DMSO,
Source[1],,384LDV_DMSO,C10,Destination[1],,384PP_Dest,G24,0,0,,,667.5,667.5,7.575,92.137,Percent,DMSO,
Source[1],,384LDV_DMSO,M10,Destination[1],,384PP_Dest,H24,0,0,,,167.5,167.5,8.024,92.522,Percent,DMSO,
Source[1],,384LDV_DMSO,K10,Destination[1],,384PP_Dest,H21,0,0,,,1500,1500,7.051,92.498,Percent,DMSO,
Source[1],,384LDV_DMSO,K10,Destination[1],,384PP_Dest,H20,0,0,,,667.5,667.5,6.383,92.498,Percent,DMSO,
Source[1],,384LDV_DMSO,K10,Destination[1],,384PP_Dest,H19,0,0,,,167.5,167.5,6.216,92.498,Percent,DMSO,
Source[1],,384LDV_DMSO,I10,Destination[1],,384PP_Dest,H16,0,0,,,1500,1500,7.052,92.895,Percent,DMSO,
Source[1],,384LDV_DMSO,I10,Destination[1],,384PP_Dest,H15,0,0,,,667.5,667.5,6.384,92.895,Percent,DMSO,
Source[1],,384LDV_DMSO,I10,Destination[1],,384PP_Dest,H14,0,0,,,167.5,167.5,6.217,92.895,Percent,DMSO,
Source[1],,384LDV_DMSO,G10,Destination[1],,384PP_Dest,H11,0,0,,,1500,1500,6.879,91.653,Percent,DMSO,
Source[1],,384LDV_DMSO,G10,Destination[1],,384PP_Dest,H10,0,0,,,667.5,667.5,6.211,91.653,Percent,DMSO,
Source[1],,384LDV_DMSO,G10,Destination[1],,384PP_Dest,H9,0,0,,,167.5,167.5,6.044,91.653,Percent,DMSO,
Source[1],,384LDV_DMSO,E10,Destination[1],,384PP_Dest,H6,0,0,,,1500,1500,7.01,93.255,Percent,DMSO,
Source[1],,384LDV_DMSO,E10,Destination[1],,384PP_Dest,H5,0,0,,,667.5,667.5,6.342,93.255,Percent,DMSO,
Source[1],,384LDV_DMSO,E10,Destination[1],,384PP_Dest,H4,0,0,,,167.5,167.5,6.175,93.255,Percent,DMSO,
Source[1],,384LDV_DMSO,C10,Destination[1],,384PP_Dest,H1,0,0,,,1500,1500,6.075,92.137,Percent,DMSO,
Source[1],,384LDV_DMSO,M10,Destination[1],,384PP_Dest,I1,0,0,,,667.5,667.5,7.357,92.522,Percent,DMSO,
Source[1],,384LDV_DMSO,M10,Destination[1],,384PP_Dest,I2,0,0,,,1500,1500,5.857,92.522,Percent,DMSO,
Source[1],,384LDV_DMSO,O10,Destination[1],,384PP_Dest,I5,0,0,,,167.5,167.5,7.375,83.177,Percent,DMSO,
Source[1],,384LDV_DMSO,O10,Destination[1],,384PP_Dest,I6,0,0,,,667.5,667.5,6.707,83.177,Percent,DMSO,
Source[1],,384LDV_DMSO,O10,Destination[1],,384PP_Dest,I7,0,0,,,1500,1500,5.207,83.177,Percent,DMSO,
Source[1],,384LDV_DMSO,M8,Destination[1],,384PP_Dest,G8,0,0,,,167.5,167.5,8.596,92.576,Percent,DMSO,
Source[1],,384LDV_DMSO,M8,Destination[1],,384PP_Dest,G9,0,0,,,667.5,667.5,7.928,92.576,Percent,DMSO,
Source[1],,384LDV_DMSO,M8,Destination[1],,384PP_Dest,G10,0,0,,,1500,1500,6.428,92.576,Percent,DMSO,
Source[1],,384LDV_DMSO,O8,Destination[1],,384PP_Dest,G13,0,0,,,167.5,167.5,7.836,81.023,Percent,DMSO,
Source[1],,384LDV_DMSO,O8,Destination[1],,384PP_Dest,G14,0,0,,,667.5,667.5,7.169,81.023,Percent,DMSO,
Source[1],,384LDV_DMSO,O8,Destination[1],,384PP_Dest,G15,0,0,,,1500,1500,5.669,81.023,Percent,DMSO,
Source[1],,384LDV_DMSO,G8,Destination[1],,384PP_Dest,F17,0,0,,,167.5,167.5,8.581,92.735,Percent,DMSO,
Source[1],,384LDV_DMSO,G8,Destination[1],,384PP_Dest,F18,0,0,,,667.5,667.5,7.914,92.735,Percent,DMSO,
Source[1],,384LDV_DMSO,G8,Destination[1],,384PP_Dest,F19,0,0,,,1500,1500,6.414,92.735,Percent,DMSO,
Source[1],,384LDV_DMSO,E8,Destination[1],,384PP_Dest,F14,0,0,,,1500,1500,7.027,92.062,Percent,DMSO,
Source[1],,384LDV_DMSO,E8,Destination[1],,384PP_Dest,F13,0,0,,,667.5,667.5,6.36,92.062,Percent,DMSO,
Source[1],,384LDV_DMSO,E8,Destination[1],,384PP_Dest,F12,0,0,,,167.5,167.5,6.192,92.062,Percent,DMSO,
Source[1],,384LDV_DMSO,C8,Destination[1],,384PP_Dest,F9,0,0,,,1500,1500,5.988,77.095,Percent,DMSO,
Source[1],,384LDV_DMSO,C8,Destination[1],,384PP_Dest,F8,0,0,,,667.5,667.5,5.32,77.095,Percent,DMSO,
Source[1],,384LDV_DMSO,C8,Destination[1],,384PP_Dest,F7,0,0,,,167.5,167.5,5.153,77.095,Percent,DMSO,
