,SrcPlate,Cpd,SrcWell,Destination Plate Name,DestWell,Transfer Volume /nl
0,src racks 0..4,['S1005'],A1,dest racks 0..4 0,A1,20.0
1,src racks 0..4,['S1005'],A1,dest racks 0..4 0,A2,605.0
2,src racks 0..4,['S1005'],A1,dest racks 0..4 0,A3,2000.0
3,src racks 0..4,['S1199'],A11,dest racks 0..4 0,G17,20.0
4,src racks 0..4,['S1199'],A11,dest racks 0..4 0,G18,605.0
5,src racks 0..4,['S1199'],A11,dest racks 0..4 0,G19,2000.0
6,src racks 0..4,['S1212'],A13,dest racks 0..4 0,I1,20.0
7,src racks 0..4,['S1212'],A13,dest racks 0..4 0,I2,605.0
8,src racks 0..4,['S1212'],A13,dest racks 0..4 0,I3,2000.0
9,src racks 0..4,['S1225'],A15,dest racks 0..4 0,J9,20.0
10,src racks 0..4,['S1225'],A15,dest racks 0..4 0,J10,605.0
11,src racks 0..4,['S1225'],A15,dest racks 0..4 0,J11,2000.0
12,src racks 0..4,['S1241'],A17,dest racks 0..4 0,K17,20.0
13,src racks 0..4,['S1241'],A17,dest racks 0..4 0,K18,605.0
14,src racks 0..4,['S1241'],A17,dest racks 0..4 0,K19,2000.0
15,src racks 0..4,['S1257'],A19,dest racks 0..4 0,M1,20.0
16,src racks 0..4,['S1257'],A19,dest racks 0..4 0,M2,605.0
17,src racks 0..4,['S1257'],A19,dest racks 0..4 0,M3,2000.0
18,src racks 0..4,['S1288'],A2,dest racks 0..4 0,O17,20.0
19,src racks 0..4,['S1288'],A2,dest racks 0..4 0,O18,605.0
20,src racks 0..4,['S1288'],A2,dest racks 0..4 0,O19,2000.0
21,src racks 0..4,['S1278'],A21,dest racks 0..4 0,N9,20.0
22,src racks 0..4,['S1278'],A21,dest racks 0..4 0,N10,605.0
23,src racks 0..4,['S1278'],A21,dest racks 0..4 0,N11,2000.0
24,src racks 0..4,['S1028'],A3,dest racks 0..4 0,B9,20.0
25,src racks 0..4,['S1028'],A3,dest racks 0..4 0,B10,605.0
26,src racks 0..4,['S1028'],A3,dest racks 0..4 0,B11,2000.0
27,src racks 0..4,['S1046'],A5,dest racks 0..4 0,C17,20.0
