Run ID,1650535277
Run Date/Time,2022-04-21 12:02:22
Application Name,Labcyte Echo Plate Reformat
Application Version,1.6.4
Protocol Name,2022-04-21-exp01-test.epr
User Name,Lab

[DETAILS]
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Survey Fluid Height,Survey Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Survey Status
Source[2],UnknownBarCode,384LDV_DMSO,A1,1.526,6.901,72.685,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,A2,1.516,6.873,73.38,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,A3,0,0,0,Percent,DMSO,"Data missing for well (1th row, 3th column), defaulting to 0.0 percent DMSO"
Source[2],UnknownBarCode,384LDV_DMSO,A4,1.398,6.221,70.487,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,A5,1.612,7.278,71.777,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,A6,1.541,7.059,75.536,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,A7,1.502,6.914,76.921,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,A8,1.621,7.488,77.148,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,A9,0,0,0,Percent,DMSO,"Data missing for well (1th row, 9th column), defaulting to 0.0 percent DMSO"
Source[2],UnknownBarCode,384LDV_DMSO,A10,1.624,7.747,86.709,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,A11,0,0,0,Percent,DMSO,"Data missing for well (1th row, 11th column), defaulting to 0.0 percent DMSO"
Source[2],UnknownBarCode,384LDV_DMSO,A12,1.774,8.012,70.487,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,A13,1.691,7.737,74.415,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,A14,1.737,8.184,82.005,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,A15,0,0,0,Percent,DMSO,"Data missing for well (1th row, 15th column), defaulting to 0.0 percent DMSO"
Source[2],UnknownBarCode,384LDV_DMSO,A16,1.856,8.868,88.086,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,A17,1.532,6.988,74.505,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,A18,1.876,8.971,88.745,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,A19,1.62,7.276,70.487,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,A20,0,0,0,Percent,DMSO,"Data missing for well (1th row, 20th column), defaulting to 0.0 percent DMSO"
Source[2],UnknownBarCode,384LDV_DMSO,A21,0,0,0,Percent,DMSO,"Data missing for well (1th row, 21th column), defaulting to 0.0 percent DMSO"
Source[2],UnknownBarCode,384LDV_DMSO,A22,1.697,7.729,73.235,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,B1,1.667,7.69,76.64,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,B2,1.518,7.041,78.586,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,B3,1.668,7.697,76.741,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,B4,1.705,7.907,77.804,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,B5,1.792,8.228,74.977,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,B6,1.757,8.101,76.252,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,B7,1.606,7.483,79.379,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,B8,1.794,8.25,75.442,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,B9,1.745,8.139,79.1,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,B10,1.651,7.916,90.507,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,B11,1.756,8.079,75.688,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,B12,1.661,7.572,73.748,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,B13,1.813,8.492,80.054,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,B14,1.765,8.163,76.922,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,B15,1.841,8.629,80.313,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,B16,1.617,7.521,78.924,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,B17,1.765,8.24,79.352,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,B18,1.496,6.949,79.026,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,B19,1.746,8.131,78.769,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,B20,1.613,7.417,76.059,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,B21,1.719,7.809,72.414,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,B22,1.436,6.561,75.493,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,C1,1.626,7.408,73.834,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,C2,1.653,7.737,80.306,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,C3,0,0,0,Percent,DMSO,"Data missing for well (3th row, 3th column), defaulting to 0.0 percent DMSO"
Source[2],UnknownBarCode,384LDV_DMSO,C4,2.31,10.627,73.342,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,C5,1.672,7.619,73.66,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,C6,2.327,10.935,80.011,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,C7,1.598,7.324,75.298,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,C8,2.328,10.905,78.937,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,C9,1.337,6.068,74.596,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,C10,2.328,11.025,83.173,Percent,DMSO,
Source[2],UnknownBarCode,384LDV_DMSO,C11,1.753,7.996,73.421,Percent,DMSO,
