Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Destination Plate Name,Destination Plate Barcode,Destination Plate Type,Destination Well,Destination Well X Offset,Destination Well Y Offset,Sample ID,Sample Name,Transfer Volume,Actual Volume,Current Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Transfer Status
Source[2],,384LDV_DMSO,C3,Destination[2]-01,,384PP_Dest,C11,0,0,,,2000,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,C3,Destination[2]-01,,384PP_Dest,C10,0,0,,,1202.5,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,C3,Destination[2]-01,,384PP_Dest,C9,0,0,,,605,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,C3,Destination[2]-01,,384PP_Dest,C8,0,0,,,212.5,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,C3,Destination[2]-01,,384PP_Dest,C7,0,0,,,20,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,A3,Destination[2]-01,,384PP_Dest,C5,0,0,,,2000,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,A3,Destination[2]-01,,384PP_Dest,C4,0,0,,,1202.5,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,A3,Destination[2]-01,,384PP_Dest,C3,0,0,,,605,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,A3,Destination[2]-01,,384PP_Dest,C2,0,0,,,212.5,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,A3,Destination[2]-01,,384PP_Dest,C1,0,0,,,20,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,O5,Destination[2]-01,,384PP_Dest,F23,0,0,,,2000,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,O5,Destination[2]-01,,384PP_Dest,F22,0,0,,,1202.5,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,O5,Destination[2]-01,,384PP_Dest,F21,0,0,,,605,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,O5,Destination[2]-01,,384PP_Dest,F20,0,0,,,212.5,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,O5,Destination[2]-01,,384PP_Dest,F19,0,0,,,20,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,I7,Destination[2]-01,,384PP_Dest,H1,0,0,,,20,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,I7,Destination[2]-01,,384PP_Dest,H2,0,0,,,212.5,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,I7,Destination[2]-01,,384PP_Dest,H3,0,0,,,605,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,I7,Destination[2]-01,,384PP_Dest,H4,0,0,,,1202.5,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,I7,Destination[2]-01,,384PP_Dest,H5,0,0,,,2000,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,K7,Destination[2]-01,,384PP_Dest,H7,0,0,,,20,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,K7,Destination[2]-01,,384PP_Dest,H8,0,0,,,212.5,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,K7,Destination[2]-01,,384PP_Dest,H9,0,0,,,605,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,K7,Destination[2]-01,,384PP_Dest,H10,0,0,,,1202.5,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,K7,Destination[2]-01,,384PP_Dest,H11,0,0,,,2000,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,A9,Destination[2]-01,,384PP_Dest,I1,0,0,,,20,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,A9,Destination[2]-01,,384PP_Dest,I2,0,0,,,212.5,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,A9,Destination[2]-01,,384PP_Dest,I3,0,0,,,605,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,A9,Destination[2]-01,,384PP_Dest,I4,0,0,,,1202.5,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,A9,Destination[2]-01,,384PP_Dest,I5,0,0,,,2000,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,O11,Destination[2]-01,,384PP_Dest,L19,0,0,,,20,0,1.654,79.65,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.78066 ft: 0.374358
Source[2],,384LDV_DMSO,O11,Destination[2]-01,,384PP_Dest,L20,0,0,,,212.5,0,1.654,79.65,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.78066 ft: 0.374358
Source[2],,384LDV_DMSO,O11,Destination[2]-01,,384PP_Dest,L21,0,0,,,605,0,1.654,79.65,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.78066 ft: 0.374358
Source[2],,384LDV_DMSO,O11,Destination[2]-01,,384PP_Dest,L22,0,0,,,1202.5,0,1.654,79.65,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.78066 ft: 0.374358
Source[2],,384LDV_DMSO,O11,Destination[2]-01,,384PP_Dest,L23,0,0,,,2000,0,1.654,79.65,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.78066 ft: 0.374358
Source[2],,384LDV_DMSO,A11,Destination[2]-01,,384PP_Dest,K5,0,0,,,2000,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,A11,Destination[2]-01,,384PP_Dest,K4,0,0,,,1202.5,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,A11,Destination[2]-01,,384PP_Dest,K3,0,0,,,605,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,A11,Destination[2]-01,,384PP_Dest,K2,0,0,,,212.5,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,A11,Destination[2]-01,,384PP_Dest,K1,0,0,,,20,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,K15,Destination[2]-01,,384PP_Dest,P7,0,0,,,20,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,K15,Destination[2]-01,,384PP_Dest,P8,0,0,,,212.5,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,K15,Destination[2]-01,,384PP_Dest,P9,0,0,,,605,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,K15,Destination[2]-01,,384PP_Dest,P10,0,0,,,1202.5,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,K15,Destination[2]-01,,384PP_Dest,P11,0,0,,,2000,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,M15,Destination[2]-01,,384PP_Dest,P13,0,0,,,20,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,M15,Destination[2]-01,,384PP_Dest,P14,0,0,,,212.5,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,M15,Destination[2]-01,,384PP_Dest,P15,0,0,,,605,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,M15,Destination[2]-01,,384PP_Dest,P16,0,0,,,1202.5,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,M15,Destination[2]-01,,384PP_Dest,P17,0,0,,,2000,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,A15,Destination[2]-01,,384PP_Dest,O5,0,0,,,2000,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,A15,Destination[2]-01,,384PP_Dest,O4,0,0,,,1202.5,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,A15,Destination[2]-01,,384PP_Dest,O3,0,0,,,605,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,A15,Destination[2]-01,,384PP_Dest,O2,0,0,,,212.5,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,A15,Destination[2]-01,,384PP_Dest,O1,0,0,,,20,0,0,0,Percent,DMSO,MM0202007: Problem calc. well fluid volume fc: 0 ft: 0
Source[2],,384LDV_DMSO,A1,Destination[2]-02,,384PP_Dest,A5,0,0,,,2000,1200,1.411,77.428,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.79329 ft: 0.326502
Source[2],,384LDV_DMSO,C1,Destination[2]-02,,384PP_Dest,A11,0,0,,,2000,1200,1.418,78.367,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.78801 ft: 0.325047
Source[2],,384LDV_DMSO,E1,Destination[2]-02,,384PP_Dest,A17,0,0,,,2000,1500,1.369,77.806,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.79117 ft: 0.315686
Source[2],,384LDV_DMSO,G1,Destination[2]-02,,384PP_Dest,A23,0,0,,,2000,1200,1.518,80.821,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.77382 ft: 0.337481
Source[2],,384LDV_DMSO,O1,Destination[2]-02,,384PP_Dest,B22,0,0,,,1202.5,1200,1.493,71.811,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.82328 ft: 0.373339
Source[2],,384LDV_DMSO,O1,Destination[2]-02,,384PP_Dest,B21,0,0,,,605,0,1.493,71.811,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.82328 ft: 0.373339
Source[2],,384LDV_DMSO,O1,Destination[2]-02,,384PP_Dest,B20,0,0,,,212.5,0,1.493,71.811,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.82328 ft: 0.373339
Source[2],,384LDV_DMSO,O1,Destination[2]-02,,384PP_Dest,B19,0,0,,,20,0,1.493,71.811,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.82328 ft: 0.373339
Source[2],,384LDV_DMSO,M1,Destination[2]-02,,384PP_Dest,B15,0,0,,,605,300,1.58,75.582,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.80342 ft: 0.371986
Source[2],,384LDV_DMSO,M1,Destination[2]-02,,384PP_Dest,B14,0,0,,,212.5,0,1.58,75.582,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.80342 ft: 0.371986
Source[2],,384LDV_DMSO,M1,Destination[2]-02,,384PP_Dest,B13,0,0,,,20,0,1.58,75.582,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.80342 ft: 0.371986
Source[2],,384LDV_DMSO,K1,Destination[2]-02,,384PP_Dest,B9,0,0,,,605,600,1.481,76.858,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.79645 ft: 0.34458
Source[2],,384LDV_DMSO,K1,Destination[2]-02,,384PP_Dest,B8,0,0,,,212.5,0,1.481,76.858,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.79645 ft: 0.34458
Source[2],,384LDV_DMSO,K1,Destination[2]-02,,384PP_Dest,B7,0,0,,,20,0,1.481,76.858,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.79645 ft: 0.34458
Source[2],,384LDV_DMSO,I1,Destination[2]-02,,384PP_Dest,B3,0,0,,,605,300,1.555,78.039,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.78986 ft: 0.357767
Source[2],,384LDV_DMSO,I1,Destination[2]-02,,384PP_Dest,B2,0,0,,,212.5,0,1.555,78.039,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.78986 ft: 0.357767
Source[2],,384LDV_DMSO,I1,Destination[2]-02,,384PP_Dest,B1,0,0,,,20,0,1.555,78.039,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.78986 ft: 0.357767
Source[2],,384LDV_DMSO,I3,Destination[2]-02,,384PP_Dest,D5,0,0,,,2000,600,1.424,75.757,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.80248 ft: 0.334794
Source[2],,384LDV_DMSO,K3,Destination[2]-02,,384PP_Dest,D11,0,0,,,2000,1800,1.371,76.298,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.79953 ft: 0.320597
Source[2],,384LDV_DMSO,M3,Destination[2]-02,,384PP_Dest,D17,0,0,,,2000,1800,1.27,72.622,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.8191 ft: 0.312828
Source[2],,384LDV_DMSO,O3,Destination[2]-02,,384PP_Dest,D23,0,0,,,2000,300,1.493,75.028,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.80641 ft: 0.353255
Source[2],,384LDV_DMSO,G3,Destination[2]-02,,384PP_Dest,C21,0,0,,,605,300,1.588,80.964,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.77297 ft: 0.351999
Source[2],,384LDV_DMSO,G3,Destination[2]-02,,384PP_Dest,C20,0,0,,,212.5,0,1.588,80.964,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.77297 ft: 0.351999
Source[2],,384LDV_DMSO,G3,Destination[2]-02,,384PP_Dest,C19,0,0,,,20,0,1.588,80.964,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.77297 ft: 0.351999
Source[2],,384LDV_DMSO,E3,Destination[2]-02,,384PP_Dest,C15,0,0,,,605,300,1.451,76.149,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.80034 ft: 0.33982
Source[2],,384LDV_DMSO,E3,Destination[2]-02,,384PP_Dest,C14,0,0,,,212.5,0,1.451,76.149,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.80034 ft: 0.33982
