Run ID,1646729444
Run Date/Time,2022-03-08 08:49:55
Application Name,Labcyte Echo Plate Reformat
Application Version,1.6.4
Protocol Name,2022-03-08-00.2-echo-protocol-test.epr
User Name,Lab

[DETAILS]
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Survey Fluid Height,Survey Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Survey Status
Source[1],UnknownBarCode,384LDV_DMSO,A2,1.606,7.626,84.161,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A3,0.801,3.766,82.759,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A4,1.528,6.965,74.434,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A5,0.813,3.818,82.728,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A6,1.623,7.409,74.197,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A7,0.991,4.716,84.273,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A8,1.615,7.686,84.64,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A9,1.181,5.61,83.976,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A10,1.665,7.964,88.716,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A11,0.932,4.335,81.231,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A12,1.655,7.659,77.576,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A13,1.008,4.799,84.317,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A14,1.682,8.037,88.142,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A15,0.807,3.8,82.966,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A16,1.675,7.908,82.599,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A17,1.132,5.342,83.031,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A18,1.699,8.17,91.236,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A19,0.803,3.772,82.703,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,A20,1.587,7.253,74.787,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,B2,0,0,0,Percent,DMSO,"Data missing for well (2th row, 2th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,B3,0,0,0,Percent,DMSO,"Data missing for well (2th row, 3th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,B4,0,0,0,Percent,DMSO,"Data missing for well (2th row, 4th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,B5,0,0,0,Percent,DMSO,"Data missing for well (2th row, 5th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,B6,0,0,0,Percent,DMSO,"Data missing for well (2th row, 6th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,B7,0,0,0,Percent,DMSO,"Data missing for well (2th row, 7th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,B8,0,0,0,Percent,DMSO,"Data missing for well (2th row, 8th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,B9,0,0,0,Percent,DMSO,"Data missing for well (2th row, 9th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,B10,0,0,0,Percent,DMSO,"Data missing for well (2th row, 10th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,B11,0,0,0,Percent,DMSO,"Data missing for well (2th row, 11th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,B12,0,0,0,Percent,DMSO,"Data missing for well (2th row, 12th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,B13,0,0,0,Percent,DMSO,"Data missing for well (2th row, 13th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,B14,0,0,0,Percent,DMSO,"Data missing for well (2th row, 14th column), defaulting to 0.0 percent DMSO"
