blank,,m3-wt-heme-sample41-5in1005,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0020752,0.0009642866207,800.0020752,-0.002031483222,
799.7595825,0.0001407907112,799.7595825,-0.003228068119,
799.5170288,0.0003498085134,799.5170288,-0.0001916691836,
799.2398071,-0.0001536836789,799.2398071,-0.003852965543,
798.9972534,0.0007120592636,798.9972534,-0.004533685278,
798.7545166,0.0003135663574,798.7545166,-0.004452830181,
798.5119629,0.0001447007817,798.5119629,-0.001353433472,
798.2346191,-0.0006984627107,798.2346191,-0.003353386652,
797.9918823,-0.0001559608354,797.9918823,-0.001974538667,
797.7492676,0.0007102442905,797.7492676,0.0005352114094,
797.5065308,0.0004498721974,797.5065308,-0.003407171695,
797.2637329,0.0004121966194,797.2637329,-0.002592440695,
796.9862671,-9.141962073E-005,796.9862671,-0.005351485219,
796.7435303,-0.0005125502357,796.7435303,-0.001109813573,
796.5006104,3.62159808E-005,796.5006104,-0.002769491635,
796.2578125,-0.001317923772,796.2578125,-0.002574582584,
796.0148315,-0.0007801749161,796.0148315,-0.003053363413,
795.7372437,-0.0003656665212,795.7372437,-0.005123912822,
795.4943848,-0.0008387233247,795.4943848,-0.0007021325873,
795.2514038,0.0004304898612,795.2514038,-0.0007658079267,
795.0084229,-9.31893851E-007,795.0084229,-0.002831630176,
794.7653809,0.0001749208168,794.7653809,-0.002189858584,
794.4876099,-0.0007937662886,794.4876099,-0.002612048062,
794.2446289,-0.001109865261,794.2446289,-0.00331064174,
794.0015259,0.001060495852,794.0015259,-0.003770751646,
793.7584229,0.0004401290789,793.7584229,-0.001775405137,
793.5153198,0.0008389197174,793.5153198,-0.001850471133,
793.2373657,0.0005782631924,793.2373657,-0.00148894242,
792.9942627,0.0002689608082,792.9942627,-0.004257239401,
792.7510986,0.0002562949376,792.7510986,-0.0008675036952,
792.5078125,-0.0003287826257,792.5078125,-0.004858440254,
792.2645874,0.0003214673488,792.2645874,-0.0007430678234,
791.9865723,1.656733548E-005,791.9865723,-0.005413408391,
791.7432861,5.136079926E-005,791.7432861,-0.004774419591,
791.499939,0.001781341271,791.499939,-0.002461291151,
791.2565918,0.0001089677098,791.2565918,-0.003923414741,
791.0132446,0.0003014172544,791.0132446,-0.001653446932,
790.7351074,-0.001197024481,790.7351074,-0.0009630801505,
790.4916382,-0.0006573165301,790.4916382,-0.003228222253,
790.24823,0.0004228978069,790.24823,-0.002585493028,
790.0046997,-0.0003813916701,790.0046997,-0.003040305106,
789.7612915,0.001016981085,789.7612915,-0.005259887315,
789.4829102,-0.001432545716,789.4829102,-0.001801287872,
789.2394409,-9.861434228E-005,789.2394409,-0.005454669241,
788.9959106,-0.0008484892314,788.9959106,-0.005010875408,
788.7523193,-0.0008310757694,788.7523193,-0.006765750702,
788.508728,-0.0005142049631,788.508728,-0.005155378021,
788.2651367,0.001837722375,788.2651367,-0.003649609396,
787.9865723,-0.001305381185,787.9865723,-0.0007428610697,
787.7429199,0.0003376065579,787.7429199,-0.004326341674,
787.4991455,-0.0002710450208,787.4991455,-0.006674654782,
787.2554932,-0.001637097332,787.2554932,-0.005427775905,
787.0117798,0.0002363514213,787.0117798,-0.004935842007,
786.7331543,-0.0008614067337,786.7331543,-0.004316858947,
786.4893799,-0.0004004265938,786.4893799,-0.001830984023,
786.2454834,0.0003827114124,786.2454834,-0.002910473617,
786.0016479,-0.0006450132933,786.0016479,-0.003288342617,
785.7577515,0.0008954639197,785.7577515,-0.004508835729,
785.5140381,0.0006015403778,785.5140381,-0.00430527376,
785.2351685,-0.0001364493946,785.2351685,-0.006441756152,
784.9912109,-0.0009577077581,784.9912109,0.001023986726,
784.7472534,0.0003436427214,784.7472534,-0.006210876163,
784.5032959,0.0008755688905,784.5032959,-0.003687803634,
784.2592773,0.0003078155569,784.2592773,-0.0009221140062,
784.0152588,-0.0002853766782,784.0152588,-0.002579729073,
783.7363281,0.0006707313005,783.7363281,-0.0004565437557,
783.4921875,-0.0002965519379,783.4921875,-0.004032991361,
783.2481689,0.0004931487492,783.2481689,-0.003706334857,
783.0039673,-0.0001032727305,783.0039673,-0.001995926024,
782.7598877,0.0006433024537,782.7598877,-0.000185045239,
782.515625,-0.0003506132925,782.515625,-0.004728280474,
782.2365723,0.0009116504225,782.2365723,-0.004815587308,
781.9923706,-0.000180180723,781.9923706,-0.005213902332,
781.7481079,-0.0002529875201,781.7481079,-0.00164210028,
781.5038452,0.0006279295776,781.5038452,-0.003032850567,
781.2595825,-0.0009334795177,781.2595825,-0.002432564739,
781.0151978,0.002025816124,781.0151978,-0.001171725336,
780.7359619,-0.0008261668263,780.7359619,-0.003328007413,
780.4916382,-0.0004388559901,780.4916382,-0.0009945898782,
780.2471924,-0.0007449801196,780.2471924,-0.004421621561,
780.0028076,-0.0009876682889,780.0028076,-0.005066093057,
779.7583008,0.0007083255914,779.7583008,-0.002678119577,
779.513916,7.176183135E-005,779.513916,-0.005719777197,
779.2345581,-0.0006695160409,779.2345581,-0.003644886194,
